book_id,user_id,rating
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,439,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,1169,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,2324,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,2487,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,3739,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,3922,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,4606,1
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,5115,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,5436,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,6342,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,6630,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,8167,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,8178,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,9246,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,10140,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,11285,3
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,11691,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,11692,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,11868,3
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,11945,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,12381,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,12874,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,12946,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,13034,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,13776,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,13794,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,14192,4
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,14207,3
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,14546,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,14603,5
e93d191e-1f2e-43be-4e70-08dcf4ddd1e6,15604,3
